Time,Gesture,Confidence,Frame
00:00:01.117,Pointing,70.0,503
00:00:01.197,Open Palm,62.0,504
00:00:01.761,Open Palm,82.0,511
00:00:02.321,Open Palm,82.0,518
00:00:02.877,Open Palm,79.0,525
00:00:03.276,Peace,55.0,530
00:00:03.837,Peace,56.0,537
00:00:04.399,Peace,69.0,544
00:00:06.161,Rock,83.0,566
00:00:06.242,Open Palm,87.0,567
00:00:06.812,Open Palm,82.0,574
00:00:07.344,Open Palm,83.0,581
00:00:07.903,Closed Fist,56.0,588
00:00:08.466,Closed Fist,59.0,595
00:00:09.021,Closed Fist,57.0,602
00:00:09.512,Open Palm,83.0,608
00:00:10.060,Open Palm,83.0,615
00:00:10.627,Open Palm,83.0,622
00:00:12.080,Rock,57.0,640
00:00:12.145,Open Palm,64.0,641
00:00:12.707,Open Palm,78.0,648
00:00:13.267,Open Palm,74.0,655
00:00:15.815,Thumbs Up,61.0,687
00:00:17.162,Closed Fist,59.0,704
00:00:17.243,Open Palm,80.0,705
00:00:17.804,Open Palm,78.0,712
00:00:18.365,Open Palm,76.0,719
00:00:19.883,Peace,58.0,738
00:00:19.964,Pointing,63.0,739
00:00:20.525,Pointing,63.0,746
