Time,Gesture,Confidence,Frame
00:00:01.513,Rock,81.0,397
00:00:01.590,Open Palm,82.0,398
00:00:02.146,Open Palm,83.0,405
00:00:02.708,Open Palm,83.0,412
00:00:04.549,Rock,61.0,435
00:00:07.025,Closed Fist,77.0,466
00:00:07.113,Open Palm,84.0,467
00:00:07.659,Open Palm,83.0,474
00:00:08.143,Call Me,83.0,480
00:00:08.217,Open Palm,83.0,481
00:00:08.776,Open Palm,82.0,488
00:00:09.332,Open Palm,83.0,495
00:00:09.901,Open Palm,83.0,502
00:00:10.454,Open Palm,83.0,509
00:00:11.179,Closed Fist,60.0,518
00:00:11.737,Closed Fist,89.0,525
00:00:13.737,Closed Fist,58.0,550
00:00:15.886,Closed Fist,59.0,577
00:00:15.959,Thumbs Up,57.0,578
00:00:17.239,Call Me,55.0,594
00:00:17.321,Open Palm,84.0,595
00:00:17.878,Open Palm,82.0,602
00:00:18.444,Open Palm,79.0,609
00:00:18.923,OK,79.0,615
00:00:18.997,Open Palm,77.0,616
00:00:19.563,Open Palm,77.0,623
00:00:20.042,OK,55.0,629
00:00:20.678,OK,67.0,637
00:00:21.647,OK,68.0,649
00:00:21.869,Peace,56.0,652
00:00:22.425,Peace,60.0,659
00:00:22.741,Open Palm,75.0,663
