Time,Gesture,Confidence,Frame
00:00:01.512,Closed Fist,60.0,335
00:00:01.590,Open Palm,83.0,336
00:00:02.121,Open Palm,80.0,345
00:00:02.653,Open Palm,81.0,354
00:00:03.204,Open Palm,78.0,363
00:00:04.872,Peace,58.0,391
00:00:04.936,Open Palm,78.0,392
00:00:10.024,Closed Fist,83.0,477
00:00:10.201,OK,59.0,480
00:00:14.592,Rock,87.0,553
00:00:14.690,Open Palm,85.0,554
00:00:15.240,Open Palm,82.0,564
00:00:15.777,Open Palm,88.0,573
00:00:16.311,Open Palm,86.0,582
00:00:16.523,Call Me,85.0,585
00:00:16.631,Open Palm,89.0,586
00:00:17.176,Open Palm,87.0,596
00:00:17.749,Open Palm,90.0,605
00:00:18.273,Open Palm,87.0,614
00:00:18.821,Open Palm,87.0,623
00:00:19.365,Open Palm,87.0,632
00:00:19.906,Open Palm,86.0,641
00:00:20.447,Open Palm,87.0,650
00:00:20.994,Open Palm,87.0,659
00:00:21.512,Open Palm,86.0,668
00:00:22.036,Open Palm,87.0,677
00:00:22.578,Open Palm,86.0,686
00:00:23.170,Open Palm,86.0,695
00:00:23.731,Open Palm,87.0,705
00:00:24.272,Open Palm,89.0,714
00:00:24.663,Closed Fist,59.0,721
00:00:25.211,Closed Fist,63.0,730
00:00:25.769,Closed Fist,62.0,739
00:00:26.281,Closed Fist,56.0,747
00:00:28.760,Call Me,58.0,789
00:00:30.576,Call Me,60.0,819
00:00:32.254,Call Me,56.0,847
00:00:33.036,Call Me,90.0,860
00:00:33.114,Closed Fist,92.0,862
00:00:33.684,Closed Fist,95.0,871
00:00:34.226,Closed Fist,93.0,880
